CAMPANHA JUNHO / 2016,,,,Preço Tabela,,,,Antecipação,,,,,,,,,,,,,,,
Macro-Segmento,Segmento,MCC,Nome MCC,Créd. à Vista,PSJ <= 6,PSJ > 6,DÉBITO,ElegÍvel  (Sim / Não),Período Carência,,,,,,,,,,,,,,
AUTOMOTIVO,LOJAS DE VEÍCULOS,5551,Venda de Barcos Motorizados,3.30%,3.83%,4.09%,1.83%,Sim,30 dias,,,,,,,,,,,,,,
AUTOMOTIVO,LOJAS DE VEÍCULOS,5571,Venda de Motocicletas,3.37%,4.07%,4.86%,2.06%,Sim,30 dias,,,,,,,,,,,,,,
AUTOMOTIVO,LOJAS DE VEÍCULOS,5599,Venda de Veículos Recreativos e Maquinários,3.30%,3.83%,4.09%,1.83%,Sim,30 dias,,,,,,,,,,,,,,
VESTUÁRIO E MODA,ROUPAS,5611,Roupas Masculinas,3.15%,3.67%,3.95%,2.11%,Sim,30 dias,,,,,,,,,,,,,,
VESTUÁRIO E MODA,ROUPAS,5621,Roupas Femininas,3.15%,3.67%,3.95%,2.11%,Sim,30 dias,,,,,,,,,,,,,,
VESTUÁRIO E MODA,CALÇADOS E ACESSÓRIOS,5631,Acessorios Femininos e lingeries,3.48%,4.22%,4.86%,2.56%,Sim,30 dias,,,,,,,,,,,,,,
VESTUÁRIO E MODA,ROUPAS,5651,Roupas Masculinas, Femininas e Infantis,3.15%,3.67%,3.95%,2.11%,Sim,30 dias,,,,,,,,,,,,,,
VESTUÁRIO E MODA,ROUPAS,5655,Roupas, Sapatos e Acessórios (Equestre, Motocross e Uso de Motocicleta),3.15%,3.67%,3.95%,2.11%,Sim,30 dias,,,,,,,,,,,,,,
VESTUÁRIO E MODA,CALÇADOS E ACESSÓRIOS,5661,Calçados,3.43%,4.16%,4.86%,2.56%,Sim,30 dias,,,,,,,,,,,,,,
VESTUÁRIO E MODA,ROUPAS,5691,Roupas Masculinas e Femininas,3.15%,3.67%,3.95%,2.11%,Sim,30 dias,,,,,,,,,,,,,,
VESTUÁRIO E MODA,ROUPAS,5697,Costureiras e Alfaiates,3.46%,4.19%,4.86%,2.54%,Sim,30 dias,,,,,,,,,,,,,,
VESTUÁRIO E MODA,ROUPAS,5699,Roupas Especiais e Acessórios,3.57%,4.34%,4.86%,2.56%,Sim,30 dias,,,,,,,,,,,,,,
CONSTRUÇÃO, REFORMA E DECORAÇÃO,MÓVEIS E DECORAÇÕES,5712,Moveis, Mobílias e Decorações,2.90%,3.38%,3.58%,1.84%,Sim,30 dias,,,,,,,,,,,,,,
CONSTRUÇÃO, REFORMA E DECORAÇÃO,SERVIÇOS DE REFORMA E CONSTRUÇÃO,5713,Revestimentos e Pisos,3.46%,4.11%,4.86%,2.12%,Sim,30 dias,,,,,,,,,,,,,,
CONSTRUÇÃO, REFORMA E DECORAÇÃO,MÓVEIS E DECORAÇÕES,5714,Cortinas e Artigos de Tapeçaria,3.32%,3.87%,4.17%,1.67%,Sim,30 dias,,,,,,,,,,,,,,
CONSTRUÇÃO, REFORMA E DECORAÇÃO,MÓVEIS E DECORAÇÕES,5719,Cama, Mesa e Banho e Outras Utilidades Domésticas,2.90%,3.38%,3.58%,1.84%,Sim,30 dias,,,,,,,,,,,,,,
ELETRÔNICOS E INFORMÁTICA,ELETRO-ELETRÔNICOS,5722,Eletro-domésticos,3.43%,4.16%,4.86%,2.06%,Sim,30 dias,,,,,,,,,,,,,,
ELETRÔNICOS E INFORMÁTICA,ELETRO-ELETRÔNICOS,5732,Eletrônicos,3.11%,3.60%,3.83%,1.95%,Sim,30 dias,,,,,,,,,,,,,,
OUTROS VAREJOS,LOJAS ESPECIALIZADAS,5733,Instrumentos Musicais,3.39%,4.11%,4.86%,2.56%,Sim,30 dias,,,,,,,,,,,,,,
ELETRÔNICOS E INFORMÁTICA,INFORMÁTICA,5734,Software de Computador,3.11%,3.60%,3.83%,1.95%,Sim,30 dias,,,,,,,,,,,,,,
OUTROS VAREJOS,LOJAS ESPECIALIZADAS,5735,CD's e DVD's,3.54%,4.31%,4.86%,2.28%,Sim,30 dias,,,,,,,,,,,,,,
OUTROS SERVIÇOS,LAZER E RECREAÇÃO,5811,Buffets / Festas a Domicilio / Aluguel de artigos para Festas,3.64%,4.41%,4.86%,2.35%,Sim,30 dias,,,,,,,,,,,,,,
RESTAURANTES,RESTAURANTES,5812,Restaurantes,3.21%,3.91%,4.76%,2.26%,Sim,30 dias,,,,,,,,,,,,,,
RESTAURANTES,BARES E CASAS NOTURNAS,5813,Bares e Casas Noturnas,3.21%,3.91%,4.76%,2.26%,Sim,30 dias,,,,,,,,,,,,,,
RESTAURANTES,LANCHONETES E FAST-FOODS,5814,Lanchonetes,3.21%,3.91%,4.76%,2.26%,Sim,30 dias,,,,,,,,,,,,,,
SAÚDE,DROGARIAS E FARMÁCIAS,5912,Drogarias e Farmácias,3.37%,4.07%,4.86%,2.45%,Sim,30 dias,,,,,,,,,,,,,,
VAREJO ALIMENTICIO,VAREJO ALIMENTÍCIO ESPECIALIZADO,5921,Bebidas,3.41%,4.11%,4.86%,2.06%,Sim,30 dias,,,,,,,,,,,,,,
OUTROS VAREJOS,LOJAS DE VARIEDADES,5931,Artigos de Segunda Mao / Brechós,3.61%,4.31%,4.86%,2.56%,Sim,30 dias,,,,,,,,,,,,,,
CONSTRUÇÃO, REFORMA E DECORAÇÃO,MÓVEIS E DECORAÇÕES,5932,Antiguidades - venda,2.77%,3.81%,4.86%,2.56%,Sim,30 dias,,,,,,,,,,,,,,
AUTOMOTIVO,SERVIÇOS AUTOMOTIVOS,5935,Desmanche de Automóveis,3.46%,3.96%,4.16%,1.76%,Sim,30 dias,,,,,,,,,,,,,,
CONSTRUÇÃO, REFORMA E DECORAÇÃO,MÓVEIS E DECORAÇÕES,5937,Antiguidades - restauração e reprodução,3.24%,3.93%,4.86%,2.24%,Sim,30 dias,,,,,,,,,,,,,,
OUTROS VAREJOS,LOJAS ESPECIALIZADAS,5940,Bicicletas ,3.71%,4.41%,4.86%,2.56%,Sim,30 dias,,,,,,,,,,,,,,
OUTROS VAREJOS,LOJAS ESPECIALIZADAS,5941,Artigos Esportivos,3.23%,3.81%,4.06%,2.06%,Sim,30 dias,,,,,,,,,,,,,,
OUTROS VAREJOS,LOJAS ESPECIALIZADAS,5942,Livrarias,3.15%,3.82%,4.86%,2.47%,Sim,30 dias,,,,,,,,,,,,,,
OUTROS VAREJOS,LOJAS ESPECIALIZADAS,5943,Papelarias,3.31%,4.11%,4.86%,2.56%,Sim,30 dias,,,,,,,,,,,,,,
VESTUÁRIO E MODA,JOALHERIAS,5944,Joalherias, Relojoarias e Pratarias,3.26%,3.97%,4.86%,2.38%,Sim,30 dias,,,,,,,,,,,,,,
OUTROS VAREJOS,LOJAS ESPECIALIZADAS,5945,Brinquedos e Jogos,3.31%,4.11%,4.86%,2.56%,Sim,30 dias,,,,,,,,,,,,,,
ELETRÔNICOS E INFORMÁTICA,FOTO,5946,Cameras Fotograficas e Acessorios,3.43%,4.16%,4.86%,2.06%,Não,Não Aplicavel,,,,,,,,,,,,,,
OUTROS VAREJOS,LOJAS ESPECIALIZADAS,5947,Presentes, Cartões e Lembranças,3.21%,3.91%,4.76%,2.26%,Sim,30 dias,,,,,,,,,,,,,,
VESTUÁRIO E MODA,CALÇADOS E ACESSÓRIOS,5948,Bolsas, malas e acessorios de couro,3.15%,3.67%,3.95%,2.11%,Sim,30 dias,,,,,,,,,,,,,,
OUTROS VAREJOS,LOJAS ESPECIALIZADAS,5949,Armarinhos e Tecido,3.71%,4.41%,4.86%,2.06%,Sim,30 dias,,,,,,,,,,,,,,
OUTROS SERVIÇOS,TLMKT, CATÁLOGO E ASSINATURAS,5963,Venda Porta a Porta,3.48%,4.22%,4.86%,2.72%,Sim,30 dias,,,,,,,,,,,,,,
OUTROS SERVIÇOS,TLMKT, CATÁLOGO E ASSINATURAS,5965,Marketing Direto (catálogo, telefone, Internet ou Fax) ,3.57%,4.34%,4.86%,2.12%,Não,Não Aplicavel,,,,,,,,,,,,,,
OUTROS SERVIÇOS,TLMKT, CATÁLOGO E ASSINATURAS,5967,Mensagens Via Telefone, Televisão ou Internet,3.81%,4.42%,4.76%,2.64%,Não,Não Aplicavel,,,,,,,,,,,,,,
OUTROS SERVIÇOS,TLMKT, CATÁLOGO E ASSINATURAS,5968,Assinatura continua,3.48%,4.22%,4.86%,2.72%,Sim,30 dias,,,,,,,,,,,,,,
OUTROS SERVIÇOS,TLMKT, CATÁLOGO E ASSINATURAS,5969,Marketing Direto (não classificado anteriormente),3.48%,4.22%,4.86%,2.72%,Sim,30 dias,,,,,,,,,,,,,,
CONSTRUÇÃO, REFORMA E DECORAÇÃO,MÓVEIS E DECORAÇÕES,5971,Galerias de Arte,3.57%,4.34%,4.86%,2.56%,Sim,30 dias,,,,,,,,,,,,,,
SAÚDE,ÓCULOS, PRÓTESES E APARELHOS,5976,Materiais Ortopédicos,4.01%,4.71%,4.86%,2.56%,Sim,30 dias,,,,,,,,,,,,,,
OUTROS SERVIÇOS,ESTÉTICA,5977,Cosméticos,3.68%,4.27%,4.54%,2.35%,Sim,30 dias,,,,,,,,,,,,,,
AUTOMOTIVO,COMBUSTÍVEIS,5983,Oleo de Combustível, Madeira e Carvão,3.68%,4.27%,4.61%,2.06%,Sim,30 dias,,,,,,,,,,,,,,
OUTROS VAREJOS,LOJAS ESPECIALIZADAS,5992,Floricultura,3.71%,4.41%,4.86%,2.06%,Sim,30 dias,,,,,,,,,,,,,,
OUTROS VAREJOS,LOJAS ESPECIALIZADAS,5993,Tabacaria,3.57%,4.34%,4.86%,2.56%,Sim,30 dias,,,,,,,,,,,,,,
OUTROS VAREJOS,LOJAS ESPECIALIZADAS,5994,Banca de Jornais,3.61%,4.31%,4.86%,2.56%,Sim,30 dias,,,,,,,,,,,,,,
OUTROS VAREJOS,LOJAS ESPECIALIZADAS,5995,Pet Shop,3.34%,4.05%,4.86%,2.43%,Sim,30 dias,,,,,,,,,,,,,,
